SAT_F,TotalPower_BTU_h,CoolingPower_BTU_h,FanPower_BTU_h,Reheat_BTU_h,Zone1ActualFlow_CFM,Zone2ActualFlow_CFM,TotalCost,CoolingCost,FanCost,ReheatCost
56.1,16971,15040,1542.7,388.8,1164.7,400,0.27227,0.22936,0.037073,0.0058437
56.15,16905,14990,1547.6,367.2,1168.4,400,0.27131,0.2286,0.037192,0.005519
56.2,16839,14941,1552.6,345.6,1172.1,400,0.27035,0.22785,0.037312,0.0051944
56.25,16773,14891,1557.7,324,1175.8,400,0.26939,0.22709,0.037433,0.0048697
56.3,16706,14841,1562.8,302.4,1179.5,400,0.26843,0.22633,0.037556,0.0045451
56.35,16640,14791,1567.9,280.8,1183.3,400,0.26746,0.22556,0.03768,0.0042204
56.4,16573,14741,1573.1,259.2,1187.1,400,0.2665,0.2248,0.037805,0.0038958
56.45,16506,14690,1578.4,237.6,1190.9,400,0.26553,0.22403,0.037931,0.0035711
56.5,16439,14640,1583.7,216,1194.7,400,0.26456,0.22326,0.038058,0.0032465
56.55,16372,14589,1589,194.4,1198.6,400,0.26359,0.22248,0.038187,0.0029218
56.6,16305,14538,1594.4,172.8,1202.5,400,0.26262,0.2217,0.038317,0.0025972
56.65,16238,14487,1599.9,151.2,1206.4,400,0.26164,0.22092,0.038449,0.0022725
56.7,16170,14435,1605.4,129.6,1210.4,400,0.26067,0.22014,0.038581,0.0019479
56.75,16103,14384,1611,108,1214.3,400,0.25969,0.21935,0.038716,0.0016232
56.8,16035,14332,1616.7,86.4,1218.3,400,0.25871,0.21856,0.038851,0.0012986
56.85,15967,14280,1622.3,64.8,1222.3,400,0.25773,0.21777,0.038988,0.00097394
56.9,15899,14228,1628.1,43.2,1226.4,400,0.25675,0.21697,0.039126,0.0006493
56.95,15831,14175,1633.9,21.6,1230.5,400,0.25576,0.21617,0.039266,0.00032465
57,15762,14123,1639.8,0,1234.6,400,0.25478,0.21537,0.039407,0
57.05,15729,14081,1647.7,0,1238.7,401.34,0.25434,0.21474,0.039597,0
57.1,15695,14040,1655.6,0,1242.9,402.68,0.25389,0.21411,0.039788,0
57.15,15662,13998,1663.7,0,1247,404.04,0.25345,0.21347,0.039981,0
57.2,15628,13956,1671.8,0,1251.3,405.41,0.253,0.21282,0.040177,0
57.25,15593,13913,1680.1,0,1255.5,406.78,0.25255,0.21218,0.040375,0
57.3,15559,13870,1688.4,0,1259.8,408.16,0.2521,0.21152,0.040576,0
57.35,15524,13827,1696.9,0,1264.1,409.56,0.25165,0.21087,0.040779,0
57.4,15490,13784,1705.4,0,1268.4,410.96,0.25119,0.21021,0.040984,0
57.45,15455,13740,1714.1,0,1272.8,412.37,0.25073,0.20954,0.041192,0
57.5,15419,13697,1722.8,0,1277.1,413.79,0.25028,0.20887,0.041403,0
57.55,15384,13652,1731.7,0,1281.6,415.22,0.24981,0.2082,0.041616,0
57.6,15348,13608,1740.7,0,1286,416.67,0.24935,0.20752,0.041831,0
57.65,15313,13563,1749.7,0,1290.5,418.12,0.24888,0.20683,0.042049,0
57.7,15277,13518,1758.9,0,1295,419.58,0.24842,0.20615,0.04227,0
57.75,15241,13472,1768.2,0,1299.5,421.05,0.24795,0.20545,0.042494,0
57.8,15204,13426,1777.7,0,1304.1,422.54,0.24747,0.20475,0.04272,0
57.85,15168,13380,1787.2,0,1308.7,424.03,0.247,0.20405,0.042949,0
57.9,15131,13334,1796.8,0,1313.4,425.53,0.24652,0.20334,0.043181,0
57.95,15094,13287,1806.6,0,1318,427.05,0.24604,0.20263,0.043416,0
58,15057,13240,1816.5,0,1322.8,428.57,0.24556,0.20191,0.043654,0
