SAT_F,TotalPower_BTU_h,CoolingPower_BTU_h,FanPower_BTU_h,Reheat_BTU_h,Zone1ActualFlow_CFM,Zone2ActualFlow_CFM,TotalCost,CoolingCost,FanCost,ReheatCost
61.1,12261,9474.5,2786.5,0,1698.9,550.46,0.081414,0.014449,0.066965,0
61.2,12152,9317,2835.1,0,1714.7,555.56,0.082342,0.014208,0.068133,0
61.3,12042,9156.6,2885.3,0,1730.7,560.75,0.083304,0.013964,0.06934,0
61.4,11930,8993.2,2937.2,0,1747,566.04,0.084301,0.013715,0.070587,0
61.5,11818,8826.7,2990.8,0,1763.7,571.43,0.085336,0.013461,0.071875,0
61.6,11703,8656.9,3046.3,0,1780.6,576.92,0.086409,0.013202,0.073208,0
61.7,11587,8483.9,3103.6,0,1797.9,582.52,0.087523,0.012938,0.074585,0
61.8,11470,8307.5,3162.9,0,1815.5,588.24,0.08868,0.012669,0.076011,0
61.9,11352,8127.5,3224.3,0,1833.5,594.06,0.089881,0.012394,0.077486,0
62,11232,7944,3287.9,0,1851.9,600,0.091128,0.012115,0.079014,0
62.1,11110,7756.8,3353.7,0,1870.6,606.06,0.092424,0.011829,0.080595,0
62.2,10988,7565.7,3421.9,0,1889.6,612.24,0.093772,0.011538,0.082234,0
62.3,10863,7370.7,3492.5,0,1909.1,618.56,0.095173,0.01124,0.083932,0
62.4,10737,7171.7,3565.8,0,1929,625,0.09663,0.010937,0.085693,0
62.5,10610,6968.4,3641.8,0,1949.3,631.58,0.098146,0.010627,0.087519,0
62.6,10481,6760.9,3720.6,0,1970.1,638.3,0.099724,0.01031,0.089414,0
62.7,10351,6548.8,3802.5,0,1991.2,645.16,0.10137,0.0099869,0.09138,0
62.8,10220,6332.2,3887.4,0,2012.9,652.17,0.10308,0.0096566,0.093422,0
62.9,10086,6110.8,3975.7,0,2035,659.34,0.10486,0.0093189,0.095543,0
63,9951.8,5884.4,4067.4,0,2057.6,666.67,0.10672,0.0089738,0.097747,0
63.1,9815.8,5653,4162.8,0,2080.7,674.16,0.10866,0.0086209,0.10004,0
63.2,9678.3,5416.4,4261.9,0,2104.4,681.82,0.11068,0.00826,0.10242,0
63.3,9539.4,5174.3,4365.1,0,2128.6,689.66,0.11279,0.0078907,0.1049,0
63.4,9399.1,4926.5,4472.6,0,2153.3,697.67,0.115,0.0075129,0.10748,0
63.5,9257.4,4672.9,4584.5,0,2178.6,705.88,0.1173,0.0071262,0.11017,0
63.6,9114.4,4413.3,4701.1,0,2204.6,714.29,0.11971,0.0067303,0.11298,0
63.7,8970.2,4147.5,4822.7,0,2231.1,722.89,0.12222,0.0063249,0.1159,0
63.8,8824.6,3875.1,4949.5,0,2258.4,731.71,0.12485,0.0059096,0.11895,0
63.9,8677.9,3596,5081.8,0,2286.2,740.74,0.12761,0.005484,0.12213,0
64,8530,3310,5220,0,2314.8,750,0.13049,0.0050478,0.12545,0
64.1,8381.1,3016.7,5364.4,0,2344.1,759.49,0.13352,0.0046005,0.12892,0
64.2,8231.2,2715.9,5515.3,0,2374.2,769.23,0.13668,0.0041417,0.13254,0
64.3,8080.4,2407.3,5673.1,0,2405,779.22,0.14001,0.0036711,0.13634,0
64.4,7928.8,2090.5,5838.3,0,2436.6,789.47,0.14349,0.0031881,0.1403,0
64.5,7776.6,1765.3,6011.2,0,2469.1,800,0.14715,0.0026921,0.14446,0
64.6,7623.8,1431.4,6192.5,0,2502.5,810.81,0.151,0.0021828,0.14882,0
64.7,7470.7,1088.2,6382.5,0,2536.8,821.92,0.15504,0.0016595,0.15338,0
64.8,7317.3,735.56,6581.8,0,2572,833.33,0.15929,0.0011217,0.15817,0
64.9,7164,372.96,6791,0,2608.2,845.07,0.16377,0.00056876,0.1632,0
65,7010.9,0,7010.9,0,2645.5,857.14,0.16848,0,0.16848,0
