Date	OADryBulbTemperatureNOAA	ZoneLoadforContainerFPVAV29	
42472.9166666667	64.94	5184	
42472.9270833333	64.94	3888	
42472.9375	64.94	5184	
42472.9479166667	64.94	4536	
42472.9583333333	64.94	3888	
42472.96875	64.94	3888	
42473.4375	64.94	7776	
42473.4479166667	64.94	7776	
42473.8020833333	64.94	4536	
42473.8125	64.94	3240	
42474.8125	64.94	3888	
42479.125	64.94	1944	
42479.1666666667	64.94	1944	
42479.25	64.94	5832	
42479.3333333333	64.94	5832	
42479.34375	64.94	5832	
42479.3541666667	64.94	6480	
42481.0833333333	64.94	1944	
42481.09375	64.94	2592	
42481.1041666667	64.94	3240	
42481.1145833333	64.94	3240	
42466.8645833333	64.976	3888	
42479.2291666667	64.9865517241379	5832	
42488.1458333333	65.021	3888	
42482.3541666667	65.057	5832	
42462.5	65.066	2592	
42473.4583333333	65.066	7776	
42480.5	65.066	6480	
42481.125	65.066	1944	
42469.9479166667	65.084	648	
42472.3229166667	65.084	3888	
42472.90625	65.084	3888	
42481.0729166667	65.084	3240	
42481.2395833333	65.084	5832	
42487.34375	65.096	1944	
42472.4270833333	65.1305882352941	7776	
42475.9791666667	65.144	3888	
42481.25	65.1443243243243	5184	
42476.2916666667	65.1645161290323	4536	
42487.15625	65.165	3888	
42481.5	65.171	7776	
42468.9479166667	65.204	3888	
42483.34375	65.204	3240	
42479.1770833333	65.2456603773585	1944	
42481.4895833333	65.2485714285714	6480	
42488.1875	65.261	3888	
42482.96875	65.294	3888	
42479.1458333333	65.3	3240	
42462.5104166667	65.336	3240	
42473.46875	65.336	7776	
42480.5104166667	65.336	6480	
42481.3125	65.3411428571429	3888	
42469.9375	65.354	3240	
42472.3125	65.354	3888	
42472.8958333333	65.354	3888	
42481.0625	65.354	3240	
42481.2291666667	65.354	3888	
42469.3958333333	65.402	2592	
42481.4375	65.402	6480	
42484.3541666667	65.402	2592	
42474.4895833333	65.4028571428571	6480	
42479.21875	65.4055172413793	5184	
42463.4583333333	65.423	2592	
42468.3854166667	65.492	7776	
42479.1875	65.551320754717	3240	
42465.9166666667	65.558	3888	
42463.8541666667	65.558	2592	
42481.2604166667	65.5821621621622	5832	
42462.5208333333	65.606	1944	
42473.4791666667	65.606	6480	
42480.5208333333	65.606	6480	
42481.1458333333	65.606	1944	
42472.4375	65.6070588235294	7776	
42470.3645833333	65.612	2592	
42469.9270833333	65.624	2592	
42472.3020833333	65.624	3240	
42472.8854166667	65.624	5184	
42481.21875	65.624	648	
42465.4166666667	65.654	9720	
42476.3020833333	65.658064516129	3240	
42464.875	65.663	3888	
42481.5104166667	65.666	6480	
42473.7916666667	65.6763636363636	4536	
42475.5	65.696	6480	
42468.9375	65.699	3888	
42474.8020833333	65.7427027027027	3240	
42488.1979166667	65.756	1944	
42482.9583333333	65.789	3240	
42487.3541666667	65.816	3240	
42479.2083333333	65.8244827586207	1944	
42481.4791666667	65.8271428571429	6480	
42488.125	65.831	1944	
42479.3645833333	65.8563636363636	7776	
42479.1979166667	65.8569811320755	3240	
42467.40625	65.864	4536	
42475.96875	65.864	4536	
42462.53125	65.876	1944	
42473.4895833333	65.876	6480	
42480.53125	65.876	6480	
42481.15625	65.876	1944	
42469.9166666667	65.894	3240	
42472.2916666667	65.894	3240	
42472.875	65.894	5184	
42481.2083333333	65.894	3240	
42467.8958333333	65.972	3888	
42472.4479166667	66.02	7776	
42472.4583333333	66.02	7776	
42472.46875	66.02	7776	
42472.4791666667	66.02	7776	
42472.4895833333	66.02	7776	
