Date	ZoneLoadforContainerFPVAV14	ZoneLoadResidualforContainerFPVAV14	
42518.6354166667	nan	nan	
42518.6458333333	nan	nan	
42518.65625	nan	nan	
42518.6666666667	nan	nan	
42518.6770833333	nan	nan	
42518.6875	nan	nan	
42518.6979166667	nan	nan	
42518.7083333333	nan	nan	
42518.71875	nan	nan	
42518.7291666667	nan	nan	
42518.7395833333	nan	nan	
42518.75	nan	nan	
42518.7604166667	nan	nan	
42518.7708333333	nan	nan	
42518.78125	nan	nan	
42518.7916666667	nan	nan	
42518.8020833333	nan	nan	
42518.8125	nan	nan	
42518.8229166667	nan	nan	
42518.8333333333	nan	nan	
42518.84375	nan	nan	
42518.8541666667	nan	nan	
42518.8645833333	nan	nan	
42518.875	nan	nan	
42518.8854166667	nan	nan	
42518.8958333333	nan	nan	
42518.90625	nan	nan	
42518.9166666667	nan	nan	
42518.9270833333	nan	nan	
42518.9375	nan	nan	
42518.9479166667	nan	nan	
42518.9583333333	nan	nan	
42518.96875	nan	nan	
42518.9791666667	nan	nan	
42518.9895833333	nan	nan	
42519	nan	nan	
42519.0104166667	nan	nan	
42519.0208333333	nan	nan	
42519.03125	nan	nan	
42519.0416666667	nan	nan	
42519.0520833333	nan	nan	
42519.0625	nan	nan	
42519.0729166667	nan	nan	
42519.0833333333	nan	nan	
42519.09375	nan	nan	
42519.1041666667	nan	nan	
42519.1145833333	nan	nan	
42519.125	nan	nan	
42519.1354166667	nan	nan	
42519.1458333333	nan	nan	
42519.15625	nan	nan	
42519.1666666667	nan	nan	
42519.1770833333	nan	nan	
42519.1875	nan	nan	
42519.1979166667	nan	nan	
42519.2083333333	nan	nan	
42519.21875	nan	nan	
42519.2291666667	nan	nan	
42519.2395833333	nan	nan	
42519.25	nan	nan	
42519.2604166667	nan	nan	
42519.2708333333	nan	nan	
42519.28125	nan	nan	
42519.2916666667	nan	nan	
42519.3020833333	nan	nan	
42519.3125	nan	nan	
42519.3229166667	nan	nan	
42519.3333333333	nan	nan	
42519.34375	nan	nan	
42519.3541666667	nan	nan	
42519.3645833333	nan	nan	
42519.375	nan	nan	
42519.3854166667	nan	nan	
42519.3958333333	nan	nan	
42519.40625	nan	nan	
42519.4166666667	nan	nan	
42519.4270833333	nan	nan	
42519.4375	nan	nan	
42519.4479166667	nan	nan	
42519.4583333333	nan	nan	
42519.46875	nan	nan	
42519.4791666667	nan	nan	
42519.4895833333	nan	nan	
42519.5	nan	nan	
42519.5104166667	nan	nan	
42519.5208333333	nan	nan	
42519.53125	nan	nan	
42519.5416666667	nan	nan	
42519.5520833333	nan	nan	
42519.5625	nan	nan	
42519.5729166667	nan	nan	
42519.5833333333	nan	nan	
42519.59375	nan	nan	
42519.6041666667	nan	nan	
42519.6145833333	nan	nan	
42519.625	nan	nan	
42519.6354166667	nan	nan	
42519.6458333333	nan	nan	
42519.65625	nan	nan	
42519.6666666667	nan	nan	
42519.6770833333	nan	nan	
42519.6875	nan	nan	
42519.6979166667	nan	nan	
42519.7083333333	nan	nan	
42519.71875	nan	nan	
42519.7291666667	nan	nan	
42519.7395833333	nan	nan	
42519.75	nan	nan	
42519.7604166667	nan	nan	
42519.7708333333	nan	nan	
42519.78125	nan	nan	
42519.7916666667	nan	nan	
42519.8020833333	nan	nan	
42519.8125	nan	nan	
42519.8229166667	nan	nan	
42519.8333333333	nan	nan	
42519.84375	nan	nan	
42519.8541666667	nan	nan	
42519.8645833333	nan	nan	
42519.875	nan	nan	
42519.8854166667	nan	nan	
42519.8958333333	nan	nan	
42519.90625	nan	nan	
42519.9166666667	nan	nan	
42519.9270833333	nan	nan	
42519.9375	nan	nan	
42519.9479166667	nan	nan	
42519.9583333333	nan	nan	
42519.96875	nan	nan	
42519.9791666667	nan	nan	
42519.9895833333	nan	nan	
42520	nan	nan	
42520.0104166667	nan	nan	
42520.0208333333	nan	nan	
42520.03125	nan	nan	
42520.0416666667	nan	nan	
42520.0520833333	nan	nan	
42520.0625	nan	nan	
42520.0729166667	nan	nan	
42520.0833333333	nan	nan	
42520.09375	nan	nan	
42520.1041666667	nan	nan	
42520.1145833333	nan	nan	
42520.125	nan	nan	
42520.1354166667	nan	nan	
42520.1458333333	nan	nan	
42520.15625	nan	nan	
42520.1666666667	nan	nan	
42520.1770833333	nan	nan	
42520.1875	nan	nan	
42520.1979166667	nan	nan	
42520.2083333333	nan	nan	
42520.21875	nan	nan	
42520.2291666667	nan	nan	
42520.2395833333	nan	nan	
42520.25	nan	nan	
42520.2604166667	nan	nan	
42520.2708333333	nan	nan	
42520.28125	nan	nan	
42520.2916666667	nan	nan	
42520.3020833333	nan	nan	
42520.3125	nan	nan	
42520.3229166667	nan	nan	
42520.3333333333	nan	nan	
42520.34375	nan	nan	
42520.3541666667	nan	nan	
42520.3645833333	nan	nan	
42520.375	9450	4725	
42520.3854166667	7182	6426	
42520.3958333333	5670	7938	
42520.40625	9072	4347	
42520.4166666667	8694	3402	
42520.4270833333	8694	1134	
42520.4375	5670	7371	
42520.4479166667	5670	8127	
42520.4583333333	8316	4914	
42520.46875	9450	6048	
42520.4791666667	7938	1134	
42520.4895833333	4914	4158	
42520.5	7938	9828	
42520.5104166667	10962	8505	
42520.5208333333	10962	12285	
42520.53125	4914	10584	
42520.5416666667	4158	7749	
42520.5520833333	6426	8316	
42520.5625	8694	11718	
42520.5729166667	9072	2079	
42520.5833333333	5670	756	
42520.59375	4536	7182	
42520.6041666667	5670	6426	
42520.6145833333	8694	4914	
42520.625	9072	17010	
42520.6354166667	7182	18900	
42520.6458333333	4158	19656	
42520.65625	4536	15120	
42520.6666666667	9450	3402	
42520.6770833333	9450	4536	
42520.6875	7182	6804	
42520.6979166667	2646	11340	
42520.7083333333	nan	nan	
42520.71875	nan	nan	
42520.7291666667	nan	nan	
42520.7395833333	nan	nan	
42520.75	nan	nan	
42520.7604166667	nan	nan	
42520.7708333333	nan	nan	
42520.78125	nan	nan	
42520.7916666667	nan	nan	
42520.8020833333	nan	nan	
42520.8125	nan	nan	
42520.8229166667	nan	nan	
42520.8333333333	nan	nan	
42520.84375	nan	nan	
42520.8541666667	nan	nan	
42520.8645833333	nan	nan	
42520.875	nan	nan	
42520.8854166667	nan	nan	
42520.8958333333	nan	nan	
42520.90625	nan	nan	
42520.9166666667	nan	nan	
42520.9270833333	nan	nan	
42520.9375	nan	nan	
42520.9479166667	nan	nan	
42520.9583333333	nan	nan	
42520.96875	nan	nan	
42520.9791666667	nan	nan	
42520.9895833333	nan	nan	
42521	nan	nan	
42521.0104166667	nan	nan	
42521.0208333333	nan	nan	
42521.03125	nan	nan	
