Date	OADryBulbTemperature(NOAA)	AHU13MixedAirTemp	
42478.9166666667	69.08	69.23	
42478.9270833333	69.08	69.28	
42478.9375	69.08	69.31	
42478.9479166667	69.08	69.35	
42480.2291666667	69.08	70.02	
42480.2395833333	69.08	70.02	
42480.25	69.08	70.01	
42480.2604166667	69.08	66.93	
42490.28125	69.08	70.84	
42491.1666666667	69.08	69.12	
42491.1770833333	69.08	69.24	
42491.1875	69.08	69.37	
42491.1979166667	69.08	69.47	
42498	69.08	77.04	
42498.0104166667	69.08	76.04	
42498.0208333333	69.08	73.02	
42498.03125	69.08	72.02	
42504.75	69.08	71.5	
42504.7604166667	69.08	71.51	
42504.7708333333	69.08	71.49	
42504.78125	69.08	71.49	
42504.7916666667	69.08	71.5	
42504.8020833333	69.08	71.49	
42504.8125	69.08	71.47	
42504.8229166667	69.08	71.47	
42504.8333333333	69.08	71.47	
42504.90625	69.08	71.45	
42504.9479166667	69.08	71.41	
42504.9583333333	69.08	71.41	
42504.96875	69.08	71.41	
42504.9791666667	69.08	71.4	
42504.9895833333	69.08	71.38	
42495.3541666667	69.128	69.06	
42477.25	69.1668965517241	70.08	
42485.2916666667	69.1668965517241	66.52	
42477.0729166667	69.1828571428571	70.17	
42477.2916666667	69.185	70.06	
