Date	OADryBulbTemperatureNOAA	VariableTotalPower	FanplusCoolingEnergyAHUActualExponent2forAHU23
42675.5416666667	82.1831818181818	36672.6749153422	37387.3363333333
42675.5520833333	82.49	38920.6691682679	39322.55835
42675.5625	82.7968181818182	39723.7001375689	48386.65035
42675.5729166667	83.48	34099.1406211116	54862.0728833333
42675.5833333333	83.789	34477.534582834	55956.0099333333
42675.59375	83.294	34989.9956423953	56052.6477333333
42675.6041666667	82.799	35667.7775021003	54943.9620833333
42675.6145833333	82.304	36918.7905421013	52161.68955
42675.625	80.864	30502.7509176975	50976.2517333333
42675.6354166667	78.344	26076.2856071928	52486.8428833333
42675.6458333333	76.58	22218.7840625082	56651.8494
42675.65625	75.632	21889.5303125777	56859.9388833333
42675.6666666667	76.172	23300.2654277321	56299.4323333333
42675.6770833333	76.712	24787.8268408854	53116.7988833334
42675.6875	77.252	24853.057445021	53026.1448833333
42675.6979166667	77.792	26739.2063284404	50372.4956833333
42676.375	73.628	23528.2614951507	30634.8163333333
42676.3854166667	74.888	25612.8889532263	33110.55075
42676.3958333333	76.148	31290.3301578628	34276.1685333333
42676.40625	77.408	34944.6766172132	38972.4557333333
42676.4166666667	78.542	39219.3004937041	45590.9068833333
42676.4270833333	79.532	47230.0425602776	30060.1848
42676.4375	80.522	45819.4386594195	41572.0224833333
42676.4479166667	81.512	47278.3975914028	39371.5512
42676.4583333333	82.04	46254.1367442839	38547.36435
42676.46875	82.04	45830.1039000309	43257.2228833333
42676.4791666667	82.04	44216.327061528	55038.6083333334
42676.4895833333	82.04	44515.8681526711	57659.148
42676.5	82.4047368421053	46160.6649372422	57273.5262
42676.5104166667	83.1863157894737	46855.8387568662	56174.75955
42676.5208333333	83.9678947368421	36945.9945018169	50463.5440833333
42676.53125	83.3327272727273	37042.56485634	38969.667
42676.5416666667	84.0061538461538	36333.5353000149	33250.8
42676.5520833333	84.7476595744681	35630.1067842851	41544.1677333333
42676.5625	84.4604255319149	39676.5439332844	39925.4627333333
42676.5729166667	84.1731914893617	40211.4662695964	40433.1349333333
42676.5833333333	84.251	39609.1905643141	40248.2424
42676.59375	84.746	38446.5165674553	39590.5315333333
42676.6041666667	85.241	41608.4785821832	44321.5859333333
42676.6145833333	85.736	41999.2301730199	48151.29675
42676.625	86	41554.0008944105	50197.0083333333
42676.6354166667	86	42001.9834673634	53090.4416833334
42676.6458333333	86	40433.8643482171	51686.6880833333
42676.65625	86	42732.021862377	51924.2864833333
42676.6666666667	86	42411.0400367324	53151.94755
42676.6770833333	86	42994.8002697109	52539.1224833333
42676.6875	86	42256.4694182391	52675.94955
42676.6979166667	86	42359.7120238762	60784.0909333333
42677.375	73.271	23961.2231636778	35960.8373333333
42677.3854166667	73.766	25468.5122866569	36638.71995
42677.3958333333	74.261	27475.009058201	38177.2163333334
42677.40625	74.756	26690.3449042174	38314.5269333333
42677.4166666667	75.125	28820.7196663135	39460.4064833333
42677.4270833333	75.35	26566.0347068318	38441.9763333333
42677.4375	75.575	26941.476287157	38185.3056
42677.4479166667	75.8	25489.4266193463	44799.7197333333
42677.4583333333	76.34	27464.5859256918	47701.056
42677.46875	77.36	25255.6252332576	53082.7876833333
42677.4791666667	78.71	28863.4171986075	50373.0755333334
42677.4895833333	80.06	29573.7277074734	50537.6483333333
42677.5	80.06	27990.3686999846	44139.5856833333
42677.5104166667	80.06	26225.9503149525	40274.7299333334
42677.5208333333	80.06	24478.3651047598	40028.0574
42677.53125	80.06	23156.6207196519	38589.3648833333
42677.5416666667	80.291	25584.9649109096	45292.63755
42677.5520833333	80.786	25199.5944599732	52740.6243333333
42677.5625	81.281	25603.2724756463	54756.2829333333
42677.5729166667	81.776	29256.4875849309	55788.096
42677.5833333333	82.271	28812.0547903954	56383.3700833333
42677.59375	82.766	28735.4767758173	56657.7760833333
42677.6041666667	83.261	30567.0499788349	56496.4540833333
42677.6145833333	83.756	31728.526599057	57337.3120833333
42677.625	84.02	33483.7562108044	57461.9328833333
42677.6354166667	84.02	32988.4181148367	55743.8115333333
42677.6458333333	84.02	30182.381531502	54788.9187333334
42677.65625	84.02	30264.2877963611	54572.2051333334
42677.6666666667	82.5187234042553	29034.9411207035	59243.0019333333
42677.6770833333	79.3017021276596	28332.3699197659	60049.9651333333
42677.6875	76.0846808510638	20065.1549224431	59976.315
42677.6979166667	72.4775	17206.2721151046	60542.9536833333
42678.375	69.98	22612.8868479929	30093.312
42678.3854166667	70.2392	24546.3925222269	31300.2656833333
42678.3958333333	70.5632	24831.5570126898	32304.68595
42678.40625	70.8872	24834.4184421552	33415.1181333334
42678.4270833333	71.39	23697.0704083874	37713.0212833334
42678.4479166667	71.84	24298.9587114712	40222.8020833333
42678.4583333333	72.1208510638298	24239.3872901298	40052.0397333333
42678.46875	72.4655319148936	23077.6437488608	40937.3197333333
42678.4791666667	72.8102127659574	23002.0228630079	40699.85475
42678.4895833333	73.04	23902.5874503332	42057.3006
42678.5	73.04	22254.8710434602	46766.3971333333
42678.5104166667	73.04	21772.5667651481	44984.51715
42678.5208333333	73.04	19212.0717172771	37105.7988833333
42678.53125	73.256	19524.7186257944	36152.3491333333
42678.5416666667	73.04	19413.8082067738	36269.6396833333
42678.5625	73.04	19800.7044702647	50007.1134
42678.5729166667	73.04	19747.401754455	49940.2164833333
42678.5833333333	72.914	20741.8727355659	44632.4851333333
42678.59375	72.644	19427.9261052905	34874.6776833333
42678.6041666667	72.374	19370.698007495	37493.3043333333
42678.6145833333	72.104	19595.8288676314	40285.7251333333
42678.6354166667	71.96	20267.5398786127	43905.9054
42678.6458333333	71.96	19742.0941733039	44746.6080833333
42678.65625	71.96	18929.004975683	44026.3304833333
