Date	ZoneLoadforContainerFPVAV19	PlenumTemperatureforContainerFPVAV19	
42425.40625	17172	-596.18	
42425.4375	17172	-578.619999999999	
42425.4479166667	17172	-638.82	
42425.4583333333	12636	-377.92	
42425.46875	18144	710.82	
42425.4895833333	20736	-569.58	
42425.5208333333	20088	-472.759999999998	
42425.53125	20088	180.58	
42425.5416666667	19764	313.280000000001	
42425.5625	21384	100.443333333333	
42425.5833333333	11664	143.51	
42425.59375	11664	142.11	
42425.625	15228	316.419999999999	
42425.6354166667	17820	-184.610000000001	
42425.6666666667	11988	649.040000000001	
42425.6875	14256	-603.709999999999	
42426.40625	13284	-572.110000000001	
42426.4166666667	15552	349.09	
42426.4270833333	11016	324.87	
42426.4375	14904	317.91	
42426.4479166667	10368	-277.77	
42426.46875	10368	-651.380000000001	
42426.4895833333	11664	502.059999999999	
42426.5	11016	-709.07	
42426.5104166667	12960	460.83	
42426.5208333333	12960	795.549999999999	
42426.53125	15552	218.62	
42426.5625	18468	269.37	
42426.5729166667	18468	-549.52	
42426.5833333333	18144	-552.529999999999	
42426.59375	17820	677.93	
42426.6041666667	14904	424.559999999999	
42426.6145833333	11340	399.25	
42426.625	10044	731.77	
42426.65625	10692	-237.5	
42426.6666666667	11988	-184.96	
42426.6770833333	13284	-735.149999999998	
42426.6875	15228	-706.549999999999	
42426.6979166667	16524	696.869999999999	
42429.375	20412	-551.02	
42429.3854166667	20412	-177.829999999999	
42429.3958333333	19764	-216.72	
42429.40625	19440	-428.219999999999	
42429.4270833333	18468	1033.24	
42429.4375	19116	-763.73	
42429.4479166667	19764	-649.850000000002	
42429.46875	18468	-913.73	
42429.4895833333	17172	1117.96	
42429.5	18468	-465.469999999999	
42429.5104166667	18792	-404.059999999999	
42429.5416666667	18468	-898.68	
42429.5729166667	19440	216.1	
42429.59375	20088	243.12	
42429.6041666667	20412	-251.039999999999	
42429.6145833333	20736	233.71	
42429.625	20736	211.43	
42429.6354166667	20736	303.839999999999	
42429.6458333333	20736	-75.7399999999998	
42429.6666666667	21708	138.66	
42429.6770833333	19764	469.619999999999	
42429.6875	10692	557.690000000001	
42430.375	20088	293.91	
42430.3854166667	20088	-338.619999999999	
42430.3958333333	20412	-526.939999999999	
42430.40625	19116	259.46	
42430.4166666667	20088	-397.509999999998	
42430.4270833333	19116	-271.18	
42430.4375	18792	-231.92	
42430.4479166667	19440	179.84	
42430.4583333333	19440	413.610000000001	
42430.46875	18792	503.51	
42430.4791666667	17820	501.030000000001	
42430.4895833333	18792	551.190000000001	
42430.5	19440	225.06	
42430.5208333333	20088	127.84	
42430.53125	19764	-698.509999999998	
42430.5416666667	19440	248.66	
42430.5520833333	20412	400.690000000001	
42430.5625	19764	236.82	
42430.5729166667	18792	284.44	
42430.5833333333	18468	-325.539999999999	
42430.59375	18792	499.040000000001	
42430.6041666667	20088	678.919999999998	
42430.6145833333	19764	-526.939999999999	
42430.625	18792	167.75	
42430.6458333333	18468	448.379999999999	
42430.65625	19440	111.32	
42430.6666666667	20412	609.65	
42430.6770833333	11988	-873.110000000001	
42431.375	15876	-501.369999999999	
42431.3958333333	19440	-459.220000000001	
42431.4166666667	23328	321.71	
42431.4270833333	18792	599.690000000002	
42431.4375	17496	-247.030000000001	
42431.4791666667	20412	-34.2899999999997	
42431.4895833333	21060	-512.389999999999	
42431.5208333333	21060	-518.41	
42431.53125	20736	-473.259999999998	
42431.5520833333	20088	-216.309999999999	
42431.5625	18144	635.57	
42431.5729166667	18144	599.690000000002	
42431.6041666667	19440	610.650000000001	
42431.6354166667	11340	-610.240000000002	
42431.6458333333	11340	-348.23	
42431.65625	15228	-553.040000000001	
42431.6666666667	16200	344.59	
42431.6770833333	13284	812.989999999998	
42431.6875	12636	741.73	
42431.6979166667	16524	732.75	
42432.375	18792	-889.649999999998	
42432.3854166667	18468	498.050000000001	
42432.3958333333	19764	835.400000000001	
42432.40625	19440	423.050000000001	
42432.4166666667	18792	856.830000000002	
42432.4270833333	19116	904.169999999998	
42432.4375	20412	-302.380000000001	
42432.4479166667	20412	619.119999999999	
42432.46875	18792	-546.509999999998	
42432.4791666667	19116	656	
42432.4895833333	19116	682.91	
42432.5	20412	550.349999999999	
42432.5104166667	20412	362.45	
42432.5208333333	21060	-231.91	
42432.5520833333	22356	-414.060000000001	
42432.5625	22032	-308.710000000001	
42432.5833333333	20412	-265.130000000001	
42432.59375	19764	762.639999999999	
42432.6145833333	18792	-896.170000000002	
42432.6354166667	18468	-349.200000000001	
42432.6458333333	20088	786.559999999999	
42432.65625	20088	102.861538461539	
42432.6666666667	11988	980.93	
42432.6770833333	15228	757.669999999998	
42432.6875	17820	-579.619999999999	
42433.375	22356	216.34	
42433.3854166667	19764	707.330000000002	
42433.4166666667	17820	-668.920000000002	
42433.4375	21384	-174.030000000001	
42433.4583333333	21384	-103.079999999999	
42433.46875	20412	499.52	
42433.4791666667	18468	316.27	
42433.4895833333	18468	-441.16	
42433.5208333333	21060	-216.809999999999	
42433.53125	13932	453.870000000001	
42433.5625	11016	820.970000000001	
42433.5729166667	15876	210.86	
42433.5833333333	19116	278.769999999999	
42433.59375	19440	640.549999999999	
42433.625	19116	345.57	
42433.6354166667	21060	-133.38	
42433.6458333333	16200	756.669999999998	
42433.65625	12960	708.34	
42433.6666666667	13284	466.290000000001	
42433.6770833333	17172	-218.34	
42433.6875	18144	-570.59	
42433.6979166667	12960	446.92	
42436.3854166667	20088	283.71	
42436.40625	19116	-153.28	
42436.4270833333	19116	353.02	
42436.4375	19116	-382.92	
42436.4583333333	19116	455.83	
42436.46875	19116	525.86	
42436.4791666667	19116	993.869999999999	
42436.4895833333	19116	-345.17	
42436.5	20412	288.66	
42436.5104166667	20736	-572.59	
42436.5208333333	20412	383.309999999999	
42436.53125	19116	883.239999999998	
42436.5416666667	18144	506.99	
42436.5520833333	19116	-352.719999999999	
42436.5625	20412	738.720000000001	
42436.5833333333	20412	393.74	
42436.6041666667	19116	-379.9	
42436.625	20412	702.84	
42436.6354166667	19764	757.16	
42436.65625	19116	763.639999999999	
42436.6666666667	20412	-569.079999999998	
42436.6770833333	20412	180.9	
42436.6979166667	19116	-619.25	
42437.375	20412	-248.02	
42437.3854166667	20736	-473.259999999998	
42437.3958333333	20736	203.41	
42437.40625	18792	-863.060000000001	
42437.4166666667	18468	379.26	
42437.4270833333	18468	-820.420000000002	
42437.4375	19116	-742.66	
42437.4583333333	19440	-682.959999999999	
42437.46875	20088	723.769999999999	
42437.4791666667	20088	-632.290000000001	
42437.4895833333	19440	374.370000000001	
42437.5104166667	19440	126.901428571429	
42437.5208333333	18144	117.901818181818	
42437.53125	19764	194.610000000001	
42437.5520833333	20088	112.9	
42437.5625	19764	-680.450000000001	
42437.5729166667	18468	969.950000000001	
42437.5833333333	18144	955.5	
42437.59375	18144	-376.380000000001	
42437.6041666667	20088	-269.16	
42437.6354166667	19116	-331.58	
42437.6458333333	18792	-361.780000000001	
42437.65625	20736	-129.34	
42437.6666666667	16524	1040.22	
42437.6770833333	12960	1246.54	
42437.6875	18468	457.82	
42437.6979166667	20412	592.209999999999	
42438.375	18792	-706.540000000001	
42438.3854166667	19116	531.82	
42438.3958333333	18144	-763.73	
42438.40625	19440	172.15	
42438.4166666667	20088	-602.689999999999	
42438.4270833333	19440	153.03	
42438.4375	18144	145	
42438.4479166667	18144	207.27	
42438.4583333333	18468	417.09	
