Date	OADryBulbTemperatureNOAA	AHU13MixedAirTemp	
42466.4479166667	66.1076923076923	68.72	
42473.5	66.125	62.24	
42474.5833333333	66.125	67.74	
42509.65625	66.128	66.51	
42472.5	66.146	65.25	
42481.5208333333	66.161	58.41	
42492.6458333333	66.161	65.86	
42478.40625	66.1723076923077	68.48	
42492.59375	66.194	68.53	
42452.375	66.2052941176471	65.45	
42444.375	66.251	67.27	
42454.5833333333	66.251	66.69	
42474.5	66.251	67.55	
42445.40625	66.272	67.22	
42482.3645833333	66.272	68.57	
42494.40625	66.272	68.23	
42492.6979166667	66.2744827586207	69.68	
42474.5729166667	66.284	67.24	
42481.46875	66.30125	68.91	
42517.5520833333	66.32	66.56	
42473.5104166667	66.35	60.07	
42474.59375	66.35	63.37	
42492.7291666667	66.365	69.29	
42517.6041666667	66.3721739130435	66.54	
42457.5416666667	66.377	65.96	
42492.5208333333	66.3892307692308	67.61	
42447.375	66.3905882352941	66.17	
42458.4479166667	66.392	67.2	
42481.4479166667	66.392	68.58	
42492.4895833333	66.392	68.32	
42517.5208333333	66.4151219512195	66.96	
42472.5104166667	66.416	61.43	
42478.3229166667	66.4273684210526	67.27	
42492.6875	66.4606896551724	69.49	
42478.4583333333	66.47	68.76	
42517.59375	66.47	66.56	
42468.3958333333	66.482	68.42	
42480.5416666667	66.482	61.69	
42507.3229166667	66.52	69.92	
42517.40625	66.5272727272727	66.87	
42508.3958333333	66.5326086956522	68.5	
42510.4375	66.5326086956522	60.46	
42451.4895833333	66.536	65.52	
42487.3645833333	66.536	70.36	
42473.5208333333	66.575	58.77	
42474.6041666667	66.575	61.87	
42479.3854166667	66.5803773584906	68.87	
42492.71875	66.59	69.11	
42452.3854166667	66.6023529411765	68.64	
42495.3333333333	66.608	68.39	
42492.5	66.62	65.12	
42492.6770833333	66.6468965517241	69.4	
42481.53125	66.656	59.4	
42492.65625	66.656	67.54	
42475.5104166667	66.68	67.51	
42472.5208333333	66.686	59.26	
42492.5833333333	66.689	66.81	
42481.4583333333	66.723125	68.62	
42517.5416666667	66.7290909090909	66.86	
42492.53125	66.7353846153846	69.37	
42517.53125	66.7443902439024	66.96	
42444.3854166667	66.746	67.71	
42454.59375	66.746	65.99	
42474.5104166667	66.746	68.31	
42474.5625	66.779	66.04	
42443.40625	66.8	66.73	
42473.53125	66.8	58.02	
42474.6145833333	66.8	65.22	
42492.7083333333	66.815	68.96	
42492.6666666667	66.8331034482759	68.66	
42458.5520833333	66.92	66	
42458.5625	66.92	66.85	
42458.5729166667	66.92	66.61	
42473.5416666667	66.92	58.82	
42474.625	66.92	67.59	
42474.6354166667	66.92	68	
42474.6458333333	66.92	68.39	
42474.65625	66.92	67.14	
42474.6666666667	66.92	65.96	
42474.6770833333	66.92	66.8	
42474.6875	66.92	68.72	
42474.6979166667	66.92	68.96	
42474.7083333333	66.92	69.09	
42474.71875	66.92	68.27	
42474.7291666667	66.92	68.09	
42478.3020833333	66.92	69.05	
42478.3125	66.92	67.5	
42478.46875	66.92	68.3	
42481.5416666667	66.92	61.2	
42481.5520833333	66.92	65.3	
42492.5416666667	66.92	69.41	
42492.5520833333	66.92	69.4	
42492.5625	66.92	69.11	
42492.5729166667	66.92	66.81	
42507.3333333333	66.92	66.63	
42507.34375	66.92	63.94	
42507.3541666667	66.92	68.04	
42507.3645833333	66.92	68.81	
42508.40625	66.92	68.65	
42510.4479166667	66.92	60.47	
42517.3854166667	66.92	67.49	
42517.3958333333	66.92	67.04	
42473.7083333333	67.046	68.35	
42508.4166666667	67.046	68.72	
42517.3333333333	67.046	68.24	
42452.3958333333	67.055	66.82	
42473.6979166667	67.064	68.48	
42517.2916666667	67.0712	65.81	
42507.375	67.084347826087	69.05	
